1/02/2020,"Swing & Bass, Bristol",TBC
7/02/2020,"The Lending Room, Leeds",TBC
22/02/2020,"Victoria Biker's Pub, Coalville",TBC
23/02/2020,"The Trades, Rotherham",TBC
